Day of the Week,Time of Day,Weather,Location Rank,Side of Town,Incident Rank,Nature,EMSSTAT
5,20,,66,,40,Drunk Driver,0
5,20,0,66,,1,Traffic Stop,0
5,20,0,3,SE,2,Transfer/Interfacility,1
5,20,0,66,S,51,Fire Alarm,0
5,20,0,2,NW,2,Transfer/Interfacility,1
5,20,0,19,W,5,Disturbance/Domestic,0
5,20,,66,,1,Traffic Stop,0
5,20,0,66,SE,6,Suspicious,0
5,20,0,66,E,13,Burglary,0
5,20,0,66,E,4,Contact a Subject,0
5,20,0,6,E,5,Disturbance/Domestic,0
5,20,0,19,NE,16,Breathing Problems,1
5,20,0,19,NE,16,Breathing Problems,1
5,21,1,19,,40,Heart Problems/AICD,1
5,21,1,19,,40,Heart Problems/AICD,1
5,21,1,66,SE,5,Disturbance/Domestic,0
5,21,1,9,NW,40,Open Door/Premises Check,0
5,21,1,19,E,16,Medical Call Pd Requested,1
5,21,1,19,E,16,Medical Call Pd Requested,1
5,21,1,19,NW,16,Breathing Problems,1
5,21,1,19,NW,16,Breathing Problems,1
5,21,1,66,SE,4,Contact a Subject,0
5,21,1,3,SE,7,Larceny,0
5,21,1,6,NW,13,Welfare Check,0
5,21,1,66,SE,1,Traffic Stop,0
5,21,1,2,NW,2,Transfer/Interfacility,1
5,21,1,3,SE,7,Larceny,0
5,21,1,3,SE,33,Motorist Assist,0
5,22,0,66,,1,Traffic Stop,0
5,22,,66,,1,Traffic Stop,0
5,22,0,6,NW,3,Sick Person,1
5,22,0,6,NW,3,Sick Person,1
5,22,0,6,NW,5,Disturbance/Domestic,1
5,22,0,66,SE,1,Traffic Stop,0
5,22,0,1,NE,2,Transfer/Interfacility,1
5,22,,66,,13,Welfare Check,0
5,22,0,1,NE,2,Transfer/Interfacility,1
5,22,0,66,W,6,Suspicious,0
5,22,0,66,SW,6,Suspicious,0
5,22,,66,,4,Contact a Subject,0
5,22,0,19,N,40,Back Pain,1
5,22,0,19,N,40,Back Pain,1
5,22,0,66,SE,4,Contact a Subject,0
5,22,0,19,E,4,Contact a Subject,0
5,22,0,66,SW,13,Alarm,0
5,22,0,66,NE,1,Traffic Stop,0
5,22,0,66,W,21,Public Assist,0
5,22,0,66,W,13,Alarm,0
5,22,0,9,SE,3,Sick Person,1
5,22,0,9,SE,3,Sick Person,1
5,22,0,9,SE,4,Contact a Subject,1
5,22,0,1,NE,2,Transfer/Interfacility,1
5,22,0,66,SE,1,Traffic Stop,0
5,23,1,66,NE,10,Follow Up,0
5,23,,66,,33,Motorist Assist,0
5,23,1,66,S,1,Traffic Stop,0
5,23,1,66,SW,9,Check Area,0
5,23,1,66,SE,5,Disturbance/Domestic,0
5,23,1,66,S,1,Traffic Stop,0
5,23,1,66,W,1,Traffic Stop,0
5,23,1,66,W,6,Suspicious,0
5,23,1,19,W,51,Noise Complaint,0
5,23,1,66,SE,1,Traffic Stop,0
5,23,1,19,W,9,Check Area,0
5,23,,66,,33,Motorist Assist,0
5,23,1,66,E,9,Check Area,0
